capacity,vehicles,time_limit,distance,gap,used,max_load
100,4,30,,,0,
100,5,30,784.0,0.0,5,98
100,6,30,784.0,0.0,5,98
100,7,30,784.0,0.0,5,98
100,8,30,784.0,0.0,5,98
