capacity,vehicles,time_limit,distance,gap,used,max_load
100,5,1,796.0,1.530612244897959,5,94
100,5,5,796.0,1.530612244897959,5,94
100,5,10,784.0,0.0,5,98
100,5,30,784.0,0.0,5,98
100,5,60,784.0,0.0,5,98
